Country,Clicks,Impressions,CTR,Position
Tajikistan,0,2,0%,2
Martinique,0,2,0%,2.5
Mauritania,0,2,0%,3
San Marino,0,2,0%,4
St. Martin,0,2,0%,6
Dominica,0,2,0%,6.5
North Korea,0,2,0%,7
Burundi,0,2,0%,16
Guadeloupe,0,2,0%,21.5
St. Barthélemy,0,1,0%,1
Monaco,0,1,0%,1
Sierra Leone,0,1,0%,1
Swaziland,0,1,0%,1
Greenland,0,1,0%,2
Palau,0,1,0%,2
Togo,0,1,0%,2
Macau,0,1,0%,5
New Caledonia,0,1,0%,5
Equatorial Guinea,0,1,0%,6
American Samoa,0,1,0%,7
Niger,0,1,0%,7
Kiribati,0,1,0%,8
Tonga,0,1,0%,8
Faroe Islands,0,1,0%,9
Micronesia,0,1,0%,9
Afghanistan,0,1,0%,17
French Guiana,0,1,0%,20
Benin,0,1,0%,39
